EVI,NDVI,elevation,label,loss_year,mean_temp,slope,total_precip,longitude,latitude,year,NDVI_lag1,NDVI_roll3,NDVI_delta
1.5961123110151187,0.228668674826622,37,0,13,296.9577586357861,0.08683398365974426,4.4582976900885996,89.77987528311529,26.282459425126902,2015,,0.228668674826622,
1.2299981416002677,0.18146122992038727,37,0,13,297.4430263909412,0.08683398365974426,3.439024499754961,89.77987528311529,26.282459425126902,2016,0.228668674826622,0.20506495237350464,-0.04720744490623474
1.4853042985713385,0.18740570545196533,37,0,13,297.0940757741699,0.08683398365974426,4.149161261616186,89.77987528311529,26.282459425126902,2017,0.18146122992038727,0.19917853673299155,0.005944475531578064
1.4053124887494246,0.19463548064231873,37,0,13,297.0462791250923,0.08683398365974426,2.8814124455126873,89.77987528311529,26.282459425126902,2018,0.18740570545196533,0.1878341386715571,0.0072297751903533936
1.7834779742941886,0.25474658608436584,37,0,13,297.19412665734177,0.08683398365974426,4.406686107263106,89.77987528311529,26.282459425126902,2019,0.19463548064231873,0.21226259072621664,0.06011110544204712
1.4235869902586864,0.19103243947029114,37,0,13,297.02396825153636,0.08683398365974426,3.990246022026767,89.77987528311529,26.282459425126902,2020,0.25474658608436584,0.21347150206565857,-0.06371414661407471
1.3525717703349283,0.17710168659687042,37,0,13,297.31869394815016,0.08683398365974426,3.1067096099885916,89.77987528311529,26.282459425126902,2021,0.19103243947029114,0.20762690405050913,-0.013930752873420715
1.5259951499378954,0.2016412615776062,37,0,13,296.92486801812385,0.08683398365974426,3.9866515463788197,89.77987528311529,26.282459425126902,2022,0.17710168659687042,0.18992512921492258,0.02453957498073578
1.6653168424711717,0.21626751124858856,37,0,13,297.6565292226757,0.08683398365974426,3.6360281419960643,89.77987528311529,26.282459425126902,2023,0.2016412615776062,0.19833681980768839,0.01462624967098236
1.6505065572751572,0.20497086644172668,42,0,6,296.6869881939778,0.06469385325908661,4.414967199499458,89.83377420016245,26.35881622427706,2015,,0.20497086644172668,
1.686786013827561,0.19831585884094238,42,0,6,297.1328267929802,0.06469385325908661,3.417491800289209,89.83377420016245,26.35881622427706,2016,0.20497086644172668,0.20164336264133453,-0.006655007600784302
